"RowNumber","Institutional code","Name of Organisation","Country","City"
"740","E  BARCELO15","UNIVERSITAT POMPEU FABRA","ES","Barcelona"
"741","E  BARCELO16","UNIVERSITAT RAMON LLULL","ES","Barcelona"
"742","E  BARCELO22","INSTITUT DEL TEATRE DE LA DIPUTACIO DE BARCELONA","ES","Barcelona"
"743","E  BARCELO24","UNIVERSITAT INTERNACIONAL DE CATALUNYA","ES","Barcelona"
"744","E  BARCELO29","ESCOLA SUPERIOR DE MUSICA DE CATALUNYA","ES","Barcelona"
"745","E  BARCELO30","FUNDACIO CONSERVATORI DEL LICEU","ES","Barcelona"
"746","E  BARCELO31","UNIVERSITAT ABAT OLIBA CEU","ES","Barcelona"
"747","E  BARCELO32","ESCOLA D'ART I SUPERIOR DE DISSENY DEIA","ES","BARCELONA"
"748","E  BARCELO33","CENTRE AUTORITZAT DE GRAU SUPERIOR D'ARTS PLASTIQUES","ES","BARCELONA"
"749","E  BARCELO34","ESCOLA TECNICA PROFESSIONAL DEL CLOT","ES","BARCELONA"
"750","E  BARCELO35","ESCOLA PRAT","ES","BARCELONA"
"751","E  BARCELO38","IES SERRALLARGA","ES","BLANES GIRONA"
"752","E  BARCELO40","INSTITUT ESCOLA DEL TREBALL DE BARCELONA","ES","Barcelona"
"753","E  BARCELO42","IES PROVENCANA","ES","L'Hospitalet de LLobregat"
"754","E  BARCELO44","IES LA PINEDA","ES","Badalona"
"755","E  BARCELO45","FUNDACIÓ PER A LA UNIVERSITAT OBERTA DE CATALUNYA","ES","Barcelona"
"756","E  BARCELO46","IES-SEP LA GUINEUETA","ES","Barcelona"
"757","E  BARCELO47","IES MERIDIANA","ES","Barcelona"
"758","E  BARCELO50","IES SEP MARE DE DEU DE LA MERCE","ES","Barcelona"
"759","E  BARCELO51","IES VALL D'HEBRON","ES","Barcelona"
"760","E  BARCELO52","IES POBLENOU","ES","Barcelona"
"761","E  BARCELO53","IES SALVADOR SEGUI","ES","Barcelona"
"762","E  BARCELO55","EASD SERRA I ABELLA","ES","L'HOSPITALET DE LLOBREGAT (BARCELONA)"
"763","E  BARCELO57","INSTITUT M  LLUÏSA CURA","ES","BARCELONA"
"764","E  BARCELO58","I.E.S.M EMAV","ES","BARCELONA"
"765","E  BARCELO59","ESCOLA MASSANA","ES","BARCELONA"
"766","E  BARCELO63","IES MEDITERRANIA","ES","Castelldefels"
"767","E  BARCELO65","IES MIQUEL TARRADELL","ES","Barcelona"
"768","E  BARCELO66","INSTITUT BONANOVA","ES","BARCELONA"
"769","E  BARCELO67","IES JOAN BROSSA","ES","BARCELONA"
"770","E  BARCELO69","ESCOLA D'ART I SUPERIOR DE DISSENY LLOTJA","ES","BARCELONA"
"771","E  BARCELO70","ESCOLA JOAN PELEGRÍ DE LA FUNDACIÓ CULTURAL HOSTAFRANCS","ES","BARCELONA"
"772","E  BARCELO71","ESCOLES PROFESSIONALS SALESIANES DE SARRIÀ-IP","ES","BARCELONA"
"773","E  BARCELO73","INSTITUT RUBIÓ I TUDURÍ","ES","BARCELONA"
"774","E  BARCELO74","ESCOLA TÈCNICO-PROFESSIONAL XAVIER","ES","BARCELONA"
"775","E  BARCELO78","INSTITUT MARIANAO","ES","SANT BOI DE LLOBREGAT"
"776","E  BARCELO84","INSTITUT RIBERA BAIXA","ES","EL PRAT DE LLOBREGAT"
"777","E  BARCELO85","ESCOLA D'ART I SUPERIOR DE DISSENY PAU GARGALLO","ES","BADALONA"
"778","E  BARCELO89","FUNDACIÓ SAGRAT COR SARRIÀ","ES","BARCELONA"
"779","E  BARCELO90","ESCOLA SUPERIOR DE CONSERVACIÓ I RESTAURACIÓ DE BÉNS CULTURALS DE CATALUNYA ESCRBCC","ES","BARCELONA"
"780","E  BARCELO94","CENTRE D'ESTUDIS JOAN XXIII","ES","L'HOSPITALET DE LLOBREGAT"
"781","E  BARCELO95","INSTITUT JAUME MIMO","ES","CERDANYOLA DEL VALLÈS"
"782","E  BARCELO96","IES LA FERRERIA","ES","MONTCADA I REIXAC ( BARCELONA)"
"783","E  BENLAMA01","IES ARROYO DE LA MIEL","ES","BENALMÁDENA"
"784","E  BILBAO01","UNIVERSIDAD DEL PAIS VASCO/EUSKAL HERRIKO UNIBERTSITATEA","ES","Bilbao"
"785","E  BILBAO02","UNIVERSIDAD DE DEUSTO ","ES","Bilbao"
"786","E  BILBAO09","I.E.S. ESKURTZE L.H.I.","ES","Bilbao"
"787","E  BILBAO10","I.E.S.EMILIO CAMPUZANO B.H.I.","ES","Bilbao"
"788","E  BILBAO12","I.E.S. TXURDINAGA-ARTABE","ES","Bilbao"
"789","E  BILBAO13","COLEGIO ZABALBURU","ES","Bilbao"
"790","E  BILBAO14","CAAPD INUTEC APDIB","ES","BILBAO (BIZKAIA)"
"791","E  BILBAO15","IBARREKOLANDA BH INSTITUTUA","ES","Bilbao"
"792","E  BILBAO16","ESCUELA DE QUIMICA Y ELECTRONICA DE INDAUTXU","ES","BILBAO"
"793","E  BILBAO17","IEFPS SAN JORGE","ES","SANTURTZI"
"794","E  BILBAO18","SAN JOSE DE CALASANZ IKASTETXEA","ES","SANTURTZI"
"795","E  BILBAO19","ESCUELA UNIVERSITARIA DE LA CÁMARA DE COMERCIO DE BILBAO","ES","BILBAO"
"796","E  BILBAO20","CENTRO SAN LUIS S.L.","ES","BILBAO (VIZCAYA)"
"797","E  BILBAO21","SALESIANOS DEUSTO","ES","BILBAO"
"798","E  BILBAO22","IEFPS ELORRIETA-ERREKAMARI","ES","Bilbao"
"799","E  BILBAO23","IEFPS NICOLAS LARBURU GLHBI","ES","BARAKALDO"
"800","E  BILBAO24","SAN JOSE MARISTAK IKASTETXEA","ES","DURANGO"
"801","E  BILBAO26","IEFPS TARTANGA GLHBI","ES","ERANDIO(BIZKAIA)"
"802","E  BILBAO27","IES CONSTRUCCION BIZKAIA BHI","ES","ARRIGORRIAGA-BIZKAIA"
"803","E  BILBAO28","POLITEKNIKA IKASTEGIA TXORIERRI","ES","DERIO BIZKAIA"
"804","E  BILBAO29","URRITXE-ZORNOTZA BHI","ES","AMOREBIETA"
"805","E  BILBAO30","IEFPS FADURA GLHBI","ES","GETXO"
"806","E  BILBAO31","IES ANDRA MARI GALDAKAO","ES","GALDAKAO"
"807","E  BILBAO32","IES BIDEBIETA BHI","ES","BASAURI"
"808","E  BILBAO33","IES ESCUELA DE HOSTELERIA DE LEIOA","ES","LEIOA"
"809","E  BILBAO34","ESCUELAS INTERNACIONALES PARA EDUCACION  Y DESARROLLO EIDE, S.L.","ES","SANTURCE"
"810","E  BILBAO35","IURRETA GOI-MAILAKO LANBIDE-HEZIKETA BERARIAZKO INSTITUTUA","ES","IURRETA"
"811","E  BILBAO36","SAN VIATOR","ES","Sopuerta"
"812","E  BILBAO37","CENTRO DE FORMACION SOMORROSTRO","ES","Bizkaia"
"813","E  BILBAO38","IEFPS REPELEGA GLHBI","ES","Portugalete (Bizkaia)"
"814","E  BILBAO39","I.E.S. INSTITUTO ANGELA FIGUERA BHI","ES","BIZKAIA"
"815","E  BILBAO40","IES OSTALARITZA BHI GALDAKAO","ES","GALDAKAO (BIZKAIA)"
"816","E  BILBAO41","LEA ARTIBAI IKASTETXEA","ES","Markina-Xemein"
"817","E  BILBAO43","ALMI BILBAO","ES","BILBAO ( BIZKAIA )"
"818","E  BILBAO44","CPES -0SCUS DOLORES SOPEÑA BHIP - FUNDACION OBRA SOCIAL Y CULTURAL SOPEÑA EN BILBAO","ES","BILBAO"
"819","E  BILBAO45","CENTRO ESTUDIOS MIKELDI","ES","BILBAO"
"820","E  BILBAO46","IES MUNGIA BHI","ES","BIZKAIA"
"821","E  BILBAO47","IES GERNIKA BHI","ES","GERNIKA-LUMO (BIZKAIA, BASQUE COUNTRY)"
"822","E  BILBAO50","IES FRAY JUAN DE ZUMARRAGA-DURANGO BHI","ES","DURANGO"
"823","E  BILBAO51","CENTRO XABIER","ES","PORTUGALETE"
"824","E  BILBAO55","ASESORAMIENTO Y FORMACIÓN IKASAUTO, S.L. ","ES","BARAKALDO"
"825","E  BILBAO60","IES ONDARROA BHI","ES","ONDARROA"
"826","E  BILBAO61","IBAR EZKERRA IKASTOLA S.COOP.","ES","BILBAO"
"827","E  BILBAO62","SATURNINO DE LA PEÑA BHI","ES","SESTAO (BIZKAIA)"
"828","E  BURGOS01","UNIVERSIDAD DE BURGOS ","ES","BURGOS"
"829","E  BURGOS02","CIFP JUAN DE COLONIA","ES","BURGOS"
"830","E  BURGOS04","C.E. NTRA. SRA DE LA ASUNCIÓN Y SAN JOSÉ ARTESANO","ES","BURGOS"
"831","E  BURGOS05","C.E.S. SALESIANOS PADRE ARAMBURU","ES","BURGOS"
"832","E  BURGOS06","FUNDACION INSTITUTO TECNICO INDUSTRIAL DE MIRANDA DE EBRO","ES","MIRANDA DE EBRO"
"833","E  BURGOS10","CENTRO INTEGRADO DE FORMACION PROFESIONAL LA FLORA - ESCUELA DE HOSTELERIA Y TURISMO DE BURGOS","ES","BURGOS"
"834","E  BURGOS11","ESCUELA DE ARTE Y SUPERIOR DE DISEÑO DE BURGOS","ES","BURGOS"
"835","E  BURGOS14","INSTITUTO DE EDUCACIÓN SECUNDARIA "ENRIQUE FLOREZ"","ES","BURGOS"
"836","E  BURGOS15","CENTRO CONCERTADO DIOCESANO MARIA MADRE","ES","BURGOS"
"837","E  BURGOS17","CIFP SIMON DE COLONIA","ES","BURGOS"
"838","E  CACERES01","I.E.S. UNIVERSIDAD LABORAL CÁCERES","ES","CÁCERES"
"839","E  CACERES02","I.E.S. "ÁGORA"","ES","CÁCERES"
"840","E  CACERES03","I.E.S VIRGEN DE GUADALUPE","ES","CÁCERES"
"841","E  CACERES04","I.E.S. EL BROCENSE","ES","CÁCERES"
"842","E  CACERES06","LYCÉE POLYVALENT JAVIER GARCIA TELLEZ","ES","CÁCERES"
"843","E  CACERES07","CENTRO DE FORMACIÓN DEL MEDIO RURAL DE NAVALMORAL DE LA MATA","ES","NAVALMORAL DE LA MATA"
"844","E  CACERES08","IES ALBALAT","ES","NAVALMORAL DE LA MATA"
"845","E  CACERES12","IES VALLE DEL JERTE","ES","PLASENCIA"
"846","E  CACERES14","EDUCACIÓN Y TECNOLOGÍA DE EXTREMADURA S.L.","ES","CACERES"
"847","E  CADIZ01","UNIVERSIDAD DE CÁDIZ","ES","Cadiz"
"848","E  CADIZ07","IES  "MAR DE CÁDIZ"","ES","EL PUERTO DE SANTA MARÍA (CADIZ)"
"849","E  CADIZ12","I.E.S. PINTOR JUAN LARA","ES","EL PUERTO DE SANTA MARIA"
"850","E  CADIZ19","IES FRANCISCO ROMERO VARGAS","ES","JEREZ DE LA FRONTERA"
"851","E  CADIZ20","EE.PP. SAGRADA FAMILIA SAFA-SAN LUIS","ES","EL PUERTO DE SANTA MARIA (CÁDIZ)"
"852","E  CADIZ21","IES SANTA ISABEL DE HUNGRIA","ES","JEREZ DE LA FRONTERA"
"853","E  CARTAGE01","CENTRO INTEGRADO DE FORMACIÓN PROFESIONAL HESPÉRIDES","ES","CARTAGENA"
"854","E  CASTELL01","UNIVERSITAT JAUME I","ES","Castellon de la Plana"
"855","E  CASTELL04","ESCUELA SUPERIOR DE CERÁMICA DE L'ALCORA","ES","ALCORA (CASTELLÓN)"
"856","E  CASTELL08","ESCOLA D'ART I SUPERIOR DE DISSENY DE CASTELLON","ES","CASTELLON"
"857","E  CASTELL09","IES RAMON CID","ES","BENICARLÓ"
"858","E  CASTELL13","CONSERVATORIO SUPERIOR DE MÚSICA "SALVADOR SEGUÍ" DE CASTELLÓN","ES","CASTELLÓN"
"859","E  CASTELL14","IES POLITÈCNIC","ES","CASTELLON DE LA PLANA"
"860","E  CASTELL16","IES BOTÀNIC CAVANILLES","ES","LA VALL D'UIXÓ"
"861","E  CASTELL20","IES JAUMEI","ES","BURRIANA"
"862","E  CIUDA-R01","UNIVERSIDAD DE CASTILLA-LA MANCHA","ES","CIUDAD REAL"
"863","E  CIUDA-R02","ESCUELA DE ARTE "ANTONIO LÓPEZ"","ES","TOMELLOSO"
"864","E  CIUDA-R04","IES TORREON DEL ALCAZAR","ES","CIUDAD REAL"
"865","E  CIUDA-R06","ESCUELA DE ARTE Y SUPERIOR DE DISEÑO PEDRO ALMODOVAR","ES","CIUDAD REAL"
"866","E  CIUDA-R07","IES MAESTRE DE CALATRAVA","ES","CIUDAD REAL"
"867","E  CIUDA-R08","IES VIRGEN DE GRACIA","ES","PUERTOLLANO (CIUDAD REAL)"
"868","E  CIUDA-R11","INSTITUTO DE ENSEÑANZA SECUNDARIA "GREGORIO PRIETO"","ES","VALDEPEÑAS"
"869","E  CIUDA-R12","INSTITUTO DE EDUCACION SECUNDARIA ATENEA","ES","CIUDAD REAL"
"870","E  CIUDA-R13","IES JUAN BOSCO","ES","ALCÁZAR DE SAN JUAN (CIUDAD REAL)"
"871","E  CIUDA-R14","COLEGIO HERMANO GARATE DE CIUDAD REAL","ES","CIUDAD REAL"
"872","E  CIUDA-R15","IES LEONARDO DA VINCI","ES","PUERTOLLANO"
"873","E  CIUDA-R17","ESCUELA SUPERIOR DE CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,  DISEÑO Y  CERÁMICA DE CASTILLA-LA MANCHA","ES","TOMELLOSO"
"874","E  CORDOBA01","UNIVERSIDAD DE CORDOBA ","ES","CORDOBA"
"875","E  CORDOBA04","CONSERVATORIO SUPERIOR DE MUSICA "RAFAEL OROZCO" CORDOBA","ES","Cordoba"
"876","E  CORDOBA05","ESCUELA SUPERIOR DE ARTE DRAMATICO "MIGUEL SALCEDO HIERRO" DE CÓRDOBA","ES","CORDOBA"
"877","E  CORDOBA12","IES GRAN CAPITAN","ES","CORDOBA"
"878","E  CORDOBA18","ESCUELA DE ARTE MATEO INURRIA DE CÓRDOBA","ES","CORDOBA"
"879","E  CORDOBA19","IES LA FUENSANTA","ES","CORDOBA"
"880","E  CORDOBA20","EE.PP. SAGRADA FAMILIA BAENA","ES","BAENA (CÓRDOBA)"
"881","E  CORDOBA23","UNIVERSIDAD LOYOLA ANDALUCIA","ES","CÓRDOBA"
"882","E  CUENCA01","INSTITUTO DE EDUCACION SECUNDARIA JORGE MANRIQUE","ES","MOTILLA DEL PALANCAR (CUENCA)"
"883","E  CUENCA02","IES PEDRO MERCEDES","ES","Cuenca"
"884","E  CUENCA03","INSTITUTO DE EDUCACIÓN SECUNDARIA "SAN JOSÉ"","ES","CUENCA"
"885","E  CUENCA06","ESCUELA DE ARTE "JOSÉ MARÍA CRUZ NOVILLO"","ES","CUENCA"
"886","E  ELCHE01","UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE","ES","ELCHE "
"887","E  ELCHE04","INSTITUTO DE EDUCACIÓN SECUNDARIA TIRANT LO BLANC","ES","ELCHE"
"888","E  ELCHE05","INSTITUTO ENSEÑANZA SECUNDARIA VICTORIA KENT ELCHE","ES","ELCHE"
"889","E  GIJON02","INSTITUTO EDUCACIÓN SECUNDARIA Nº 1 DE GIJÓN","ES","GIJÓN"
"890","E  GIJON04","ESCUELA SUPERIOR DE ARTE DRAMÁTICO Y PROFESIONAL DE DANZA DEL PRINCIPADO DE ASTURIAS","ES","GIJÓN"
"891","E  GIJON09","IES ESCULTOR JUAN DE VILLANUEVA","ES","POLA DE SIERO (ASTURIAS)"
"892","E  GIJON12","IES EMILIO ALARCOS","ES","GIJÓN"
"893","E  GIRONA02","UNIVERSITAT DE GIRONA","ES","GIRONA"
"894","E  GIRONA04","IES BOSC DE LA COMA","ES","Olot"
"895","E  GIRONA05","IES ESCOLA D'HOSTALERIA","ES","Girona"
"896","E  GIRONA06","IES-SEP MONTILIVI","ES","Girona"
"897","E  GIRONA07","IES NARCIS XIFRA I MASMITJA","ES","Girona"
"898","E  GIRONA08","IES LA BISBAL","ES","La Bisbal d'Emporda"
"899","E  GIRONA10","IES SANT FELIU DE GUIXOLS","ES","SANT FELIU DE GUÍXOLS"
"900","E  GIRONA11","FUNDACIÓ ESCOLA DE GESTIÓ (ESCOLA DE REALITZACIÓ AUDIOVISUAL I MULTIMÈDIA)","ES","SALT"
"901","E  GIRONA12","INSTITUT VALLVERA","ES","SALT"
"902","E  GIRONA14","ESCOLA D'ART I SUPERIOR DE DISSENY D'OLOT","ES","OLOT"
"903","E  GRANADA01","UNIVERSIDAD DE GRANADA ","ES","Granada"
"904","E  GRANADA04","REAL CONSERVATORIO SUPERIOR DE MUSICA "VICTORIA EUGENIA" DE GRANADA","ES","GRANADA"
"905","E  GRANADA07","IES LUIS BUENO CRESPO","ES","ARMILLA (GRANADA)"
"906","E  GRANADA08","IES ZAIDIN-VERGELES","ES","Granada"
"907","E  GRANADA11","CE AVE MARIA SAN CRISTOBAL","ES","GRANADA"
"908","E  GRANADA13","IES FRANCISCO AYALA","ES","GRANADA"
"909","E  GRANADA16","I.E.S. LA ZAFRA","ES","MOTRIL"
"910","E  GRANADA17","FUNDACION DOCETE OMNES","ES","LA ZUBIA, GRANADA"
"911","E  GUADALA01","IES ARCIPRESTE DE HITA","ES","AZUQUECA DE HENARES"
"912","E  GUADALA02","IES SAN ISIDRO","ES","AZUQUECA DE HENARES"
"913","E  GUADALA03","ESCUELA DE ARTE DE GUADALAJARA","ES","GUADALAJARA"
"914","E  GUADALA04","IES CASTILLA","ES","GUADALAJARA"
"915","E  GUADALA05","IES LUIS DE LUCENA","ES","GUADALAJARA"
"916","E  GUADALA07","I.E.S. AGUAS VIVAS","ES","GUADALAJARA"
"917","E  GUADALA08","IES PROFESOR DOMINGUEZ ORTIZ","ES","AZUQUECA DE HENARES"
"918","E  GUADALA09","I.E.S. BRIANDA DE MENDOZA","ES","GUADALAJARA"
"919","E  GUADALA10","IES CAMPIÑA ALTA","ES","EL CASAR-GUADALAJARA"
"920","E  HUELVA01","UNIVERSIDAD DE HUELVA ","ES","HUELVA"
"921","E  HUELVA11","ESCUELA DE ARTE " LEÓN ORTEGA"","ES","HUELVA"
"922","E  HUESCA02","IES SAN LORENZO","ES","HUESCA"
"923","E  HUESCA04","ESCUELA DE ARTE DE HUESCA","ES","HUESCA"
"924","E  HUESCA09","IES SIERRA DE GUARA","ES","HUESCA"
"925","E  HUESCA10","INSTITUTO DE FORMACIÓN PROFESIONAL ESPECÍFICA MONTEARAGÓN","ES","HUESCA"
"926","E  HUESCA12","ESCUELA SUPERIOR DE CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES DE ARAGÓN       ","ES","HUESCA"
"927","E  IBIZA03","ESCUELA DE ARTE DE IBIZA","ES","IBIZA"
"928","E  IBIZA04","IES ISIDOR MACABICH","ES","EIVISSA"
"929","E  JAEN01","UNIVERSIDAD DE JAEN ","ES","JAEN"
"930","E  JAEN03","SAGRADA FAMILIA-ÚBEDA","ES","ÚBEDA"
"931","E  JAEN04","I.E.S ANDRES DE VANDELVIRA","ES","BAEZA (JAÉN)"
"932","E  JAEN05","SAGRADA FAMILIA ALCALA LA REAL","ES","ALCALÁ LA REAL. JAÉN"
"933","E  JAEN06","SAGRADA FAMILIA LINARES","ES","LINARES"
"934","E  JAEN07","CONSERVATORIO SUPERIOR DE MUSICA DE JAEN (CSM JAEN)","ES","JAEN"
"935","E  LA-CORU01","UNIVERSIDAD DE A CORUNA ","ES","A CORUNA"
"936","E  LA-CORU02","IES RAMÓN MENÉNDEZ PIDAL ","ES","A CORUÑA"
"937","E  LA-CORU03","ESCOLA DE ARTE E SUPERIOR DE DESEÑO PABLO PICASSO","ES","A CORUÑA"
"938","E  LA-CORU04","IES FERNANDO WIRTZ SUÁREZ","ES","A CORUÑA"
"939","E  LA-CORU05","CONSERVATORIO SUPERIOR DE MUSICA DA CORUNA","ES"," A CORUÑA"
"940","E  LA-CORU06","INSTITUTO DE ENSEÑANZA SECUNDARIA UNIVERSIDADE LABORAL","ES","CULLEREDO "
"941","E  LA-CORU07","IES PASEO DAS PONTES","ES","A CORUÑA"
"942","E  LA-CORU08","CENTRO INTEGRADO DE FORMACIÓN PROFESIONAL ÁNXEL CASAL","ES","A CORUÑA"
"943","E  LA-CORU09","INSTITUTO ENSEÑANZA SECUNDARIA SAN CLEMENTE","ES","SANTIAGO DE COMPOSTELA"
"944","E  LA-CORU10","IES ISIDRO PARGA PONDAL","ES","CARBALLO(A CORUÑA)"
"945","E  LA-CORU12","CIFP SOMESO","ES","A CORUÑA"
"946","E  LA-CORU13","IES AS MARIÑAS","ES","BETANZOS"
"947","E  LA-CORU14","CIFP RODOLFO UCHA PIÑEIRO","ES","FERROL"
"948","E  LA-CORU16","INSTITUTO ENSINO SECUNDARIO PLURILINGÜE "EUSEBIO DA GUARDA"","ES","A CORUÑA"
"949","E  LA-CORU19","IES DE ARZÚA","ES","ARZÚA"
"950","E  LA-CORU20","IES LELIADOURA","ES","RIBEIRA"
"951","E  LA-CORU21","IES. URBANO LUGRIS","ES","A CORUÑA"
"952","E  LA-CORU23","IES LEIXA","ES","FERROL"
"953","E  LAS-PAL01","UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA","ES","LAS PALMAS DE GRAN CANARIA"
"954","E  LAS-PAL02","IES FELO MONZON GRAU-BASSAS","ES","LAS PALMAS DE GRAN CANARIA"
"955","E  LAS-PAL03","I.E.S FERIA DEL ATLANTICO","ES","LAS PALMAS DE GRAN CANARIA"
"956","E  LAS-PAL04","IES POLITÉCNICO LAS PALMAS","ES","LAS PALMAS DE GRAN CANARIA"
"957","E  LAS-PAL05","ESCUELA DE ARTE  Y SUPERIOR DE DISEÑO GRAN CANARIA","ES","LAS PALMAS DE GRAN CANARIA"
"958","E  LAS-PAL06","IES MAJADA MARCIAL","ES","PUERTO DEL ROSARIO"
"959","E  LAS-PAL08","I.E.S. EL RINCÓN","ES","LAS PALMAS DE G.C."
"960","E  LAS-PAL09","HECANSA - HOTELES ESCUELA DE CANARIAS, S.A.","ES","LAS PALMAS DE GRAN CANARIA"
"961","E  LAS-PAL10"," IES PRIMERO DE MAYO","ES","LAS PALMAS DE G.C."
"962","E  LAS-PAL11","I.E.S. CRUZ DE PIEDRA ","ES","LAS PALMAS DE GRAN CANARIA "
"963","E  LAS-PAL18","CONSERVATORIO SUPERIOR DE MÚSICA DE CANARIAS","ES","LAS PALMAS DE GRAN CANARIA"
"964","E  LAS-PAL19","I.E.S. LA ISLETA ","ES","LAS PALMAS DE GRAN CANARIA. LAS PALMAS."
"965","E  LAS-PAL20","I.E.S. SIETE PALMAS","ES","Las Palmas de Gran Canaria"
"966","E  LAS-PAL21","IES SANTA LUCÍA","ES","VECINDARIO"
"967","E  LAS-PAL22","IES TEROR","ES","TEROR"
"968","E  LAS-PAL23","I.E.S. VILLA DE AGÜIMES","ES","AGÜIMES"
"969","E  LEON01","UNIVERSIDAD DE LEÓN","ES","LEON"
"970","E  LEON04","CENTRO INTEGRADO DE FORMACIÓN PROFESIONAL CIUDAD DE LEÓN","ES","LEÓN"
"971","E  LEON05","CENTRO DE FORMACIÓN PROFESIONAL "MARÍA AUXILIADORA"","ES","LEÓN"
"972","E  LEON06","ESCUELA DE ARTE Y SUPERIOR DE CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES DE LEON","ES","LEÓN"
"973","E  LEON07","IES ORDOÑO II","ES","LEÓN"
"974","E  LEON09","IES SAN ANDRÉS ","ES","VILLABALTER"
"975","E  LEON12","I.E.S. FUENTESNUEVAS","ES","PONFERRADA"
"976","E  LLEIDA01","UNIVERSITAT DE LLEIDA","ES","LLEIDA"
"977","E  LLEIDA02","IES ESCOLA DEL TREBALL (LLEIDA)","ES","Lleida"
"978","E  LLEIDA03","IES ESCOLA D'HOTELERIA I TURISME DE LLEIDA","ES","Lleida"
"979","E  LLEIDA08","ESCOLA CAPACITACIO AGRÀRIA (ALFARRAS)","ES","ALFARRÀS"
"980","E  LLEIDA10","EASD ONDARA","ES","TARREGA"
"981","E  LLEIDA11","ESCOLA LES HEURES","ES","LLEIDA"
"982","E  LOGRONO01","UNIVERSIDAD DE LA RIOJA ","ES","LOGROÑO"
"983","E  LOGRONO02","INSTITUTO DE EDUCACION SECUNDARIA  COMERCIO","ES","LOGRONO"
"984","E  LOGRONO03","ESCUELA DE ARTE Y SUPERIOR DE DISEÑO","ES","LOGROÑO"
"985","E  LOGRONO06","IES LA LABORAL","ES","Lardero"
"986","E  LOGRONO07","INSTITUTO DE EDUCACION SECUNDARIA BATALLA DE CLAVIJO","ES","LOGRONO"
"987","E  LOGRONO08","IES CAMINO DE SANTIAGO - SANTO DOMINGO DE LA CALZADA - LA RIOJA","ES","SANTO DOMINGO DE LA CALZADA"
"988","E  LOGRONO09","INSTITUTO DE ENSENANZA SECUNDARIA "VALLE DEL CIDACOS"","ES","CALAHORRA"
"989","E  LOGRONO11","IES DUQUES DE NÁJERA","ES","LOGROÑO, LA RIOJA"
"990","E  LOGRONO13","CENTRO DE F.P LA PLANILLA","ES","CALAHORRA"
"991","E  LUGO01","IES A PINGUELA","ES","Monforte de Lemos"
"992","E  LUGO02","CENTRO INTEGRADO DE FORMACIÓN PROFESIONAL PORTA DA AUGA","ES","RIBADEO"
"993","E  LUGO03","IES SANXILLAO","ES","LUGO"
"994","E  LUGO04","IES AS MERCEDES","ES","LUGO"
"995","E  LUGO06","CIFP POLITECNICO DE LUGO","ES","LUGO"
"996","E  LUGO07","ESCOLA DE ARTE E SUPERIOR DE DESEÑO RAMÓN FALCÓN","ES","LUGO"
"997","E  LUGO09","IES MONTE CASTELO","ES","BURELA -LUGO"
"998","E  MADRID01","UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA","ES","MADRID"
"999","E  MADRID02","UNIVERSIDAD PONTIFICIA COMILLAS ","ES","Madrid"
"1000","E  MADRID03","UNIVERSIDAD COMPLUTENSE DE MADRID ","ES","MADRID"
"1001","E  MADRID04","UNIVERSIDAD AUTONOMA DE MADRID ","ES","MADRID"
"1002","E  MADRID05","UNIVERSIDAD POLITECNICA DE MADRID (UPM)","ES","Madrid"
"1003","E  MADRID09","FUNDACION UNIVERSITARIA SAN PABLO CEU - CENTRO DE ENSEÑANZA SUPERIOR LUIS VIVES","ES","MADRID"
"1004","E  MADRID100","IES JOSEFINA ALDECOA","ES","ALCORCÓN"
"1005","E  MADRID102","INSTITUTO DE EDUCACIÓN SECUNDARIA LUIS BRAILLE","ES","COSLADA, MADRID"
"1006","E  MADRID103","IES PABLO NERUDA","ES","LEGANÉS"
"1007","E  MADRID105","IES JOAN MIRÓ","ES","SAN SEBASTIÁN DE LOS REYES"
"1008","E  MADRID106","ESCUELA DE ARTE 4 DISEÑO DE INTERIORES","ES","MADRID"
"1009","E  MADRID107","IES BARAJAS","ES","MADRID"
"1010","E  MADRID108","COLEGIO VALLE DEL MIRO","ES","VALDEMORO"
"1011","E  MADRID109","ESCUELA PROFESIONAL JAVERIANA","ES","MADRID"
"1012","E  MADRID110","INSTITUTO DE ENSEÑANZA SECUNDARIA BEATRIZ GALINDO","ES","MADRID"
"1013","E  MADRID111","IES ANGEL CORELLA","ES","COLMENAR VIEJO"
"1014","E  MADRID112","ESCUELA SUPERIOR DE CANTO DE MADRID","ES","MADRID"
"1015","E  MADRID114","ESIC BUSINESS & MARKETING SCHOOL","ES","POZUELO DE ALARCON (MADRID)"
"1016","E  MADRID117","INSTITUTO DE ENSEÑANZA SECUNDARIA FRANCISCO GINER DE LOS RÍOS","ES","ALCOBENDAS"
"1017","E  MADRID12","UNIVERSIDAD ANTONIO DE NEBRIJA","ES","MADRID"
"1018","E  MADRID122","IES C.M.RODRÍGUEZ DE VALCÁRCEL","ES","MADRID"
"1019","E  MADRID123","INSTITUTO DE EDUCACIÓN SECUNDARIA ÍCARO","ES","GETAFE (MADRID) "
